,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율,선거명,날짜
1989,한나라당,서울특별시,양천구,나상희,사회복지사,48,19620121,중앙대학교 사회개발대학원 사회복지학 석사,現 서울시립 신목종합사회복지관 관장,0,기초의원비례대표선거,20100602
1990,민주당,서울특별시,양천구,강연숙,정당인,52,19580109,중앙대학교 졸업,숭실대학교 교직원,0,기초의원비례대표선거,20100602
1991,한나라당,서울특별시,강서구,한자선,무역업 대표,45,19650115,염광여자상업고등학교졸업(현 염광여자메디텍고등학교),現)한나라당 강서갑 당원협의회 등촌2동 여성회장,0,기초의원비례대표선거,20100602
1992,민주당,서울특별시,강서구,최영자,정당인,55,19540822,미기재,,0,기초의원비례대표선거,20100602
1993,한나라당,서울특별시,구로구,김복희,노래강사,58,19520303,산곡초등학교 졸업,現 서울시당 홍보위원회 부위원장,0,기초의원비례대표선거,20100602
1994,민주당,서울특별시,구로구,김준희,구립중앙어린이집 원장,47,19630222,중앙대학교대학원 졸업,,0,기초의원비례대표선거,20100602
1995,민주당,서울특별시,금천구,우성진,부동산중개업 대표,45,19650101,인천여자상업고등학교 졸업,,0,기초의원비례대표선거,20100602
1996,한나라당,서울특별시,영등포구,오현숙,주부,46,19640510,미기재,(전) 녹색어머니회 영등포구 연합회장,0,기초의원비례대표선거,20100602
1997,민주당,서울특별시,영등포구,정선희,정당인,51,19590320,경기도 문산여자종합고등학교(현 문산여자고등학교) 졸업,(현) 민주당 영등포갑 상무위원,0,기초의원비례대표선거,20100602
1998,한나라당,서울특별시,동작구,정유나,주부,41,19681018,이화여자대학교 독어독문학과 졸업,신남성초등학교 녹색어머니회장(전),0,기초의원비례대표선거,20100602
1999,민주당,서울특별시,동작구,김영미,(주)엘투이엔아이이 대표이사,50,19600429,서울상명여자사범대학교 졸업(현 상명대학교),(주)엘투이엔아이이 대표이사(현),0,기초의원비례대표선거,20100602
2000,한나라당,서울특별시,관악구,정예숙,자영업,64,19450610,신동신중학교 졸업,(전)관악구 새마을부녀회장,0,기초의원비례대표선거,20100602
2001,민주당,서울특별시,관악구,왕정순,자영업,49,19610506,국민대학교 정치대학원 여성정치학과 1학기 재학,(사)미래교육희망상임이사,0,기초의원비례대표선거,20100602
2002,민주당,서울특별시,관악구,김정애,국회사무처 비서관(5급상당),50,19591126,학점인정등에 관한 법률규정에 의한 문학사,관악사랑자원봉사회 회장,0,기초의원비례대표선거,20100602
2003,한나라당,서울특별시,서초구,백윤남,정당인,60,19491205,단성중학교 졸업,現서울시당 선출직 전국위원,0,기초의원비례대표선거,20100602
2004,민주당,서울특별시,서초구,안종숙,민주당서초을지역위원회여성위원장,45,19641129,경원대학교 졸업,한국전력수화력건설처,0,기초의원비례대표선거,20100602
2005,한나라당,서울특별시,강남구,오옥근,정당인,59,19510303,숙명여자대학교 문과대학 체육교육과 4학년 중퇴 (1969.3.7~1973.3.30),4대 비례대표,0,기초의원비례대표선거,20100602
2006,한나라당,서울특별시,강남구,이종열,(주)웨딩토탈노블스튜디오 대표이사,50,19591125,부천대학 공업경영과 졸업,(현)한나라당 서울시당 부위원장,0,기초의원비례대표선거,20100602
2007,민주당,서울특별시,강남구,문인옥,미광공인중개사사무소 대표,51,19581106,조선대학교 의과대학 간호학과 졸업,(현)민주당 강남을 여성위원장,0,기초의원비례대표선거,20100602
2008,한나라당,서울특별시,송파구,임정진,송파여성인력개발센터 관장,43,19661127,아주대학교 경영대학원 경영학 석사,(현)송파여성인력개발센터 관장,0,기초의원비례대표선거,20100602
2009,한나라당,서울특별시,송파구,김순애,송파을당원협의회여성부장,61,19480711,무학여자고등학교 졸업,(현)서울시당 여성위원회 부위원장,0,기초의원비례대표선거,20100602
2010,민주당,서울특별시,송파구,이성자,정당인,53,19560820,호남대학교 졸업,충청향우회 중앙회 여성회장,0,기초의원비례대표선거,20100602
2011,한나라당,서울특별시,강동구,차혜진,자영업,49,19600721,한국방송통신대학교 일본어학과 재학,現 강동구 장애인연합회 홍보이사,0,기초의원비례대표선거,20100602
2012,민주당,서울특별시,강동구,송명화,정당인,36,19730609,세종대학교 정책과학대학원 사회복지학과 석사과정 재학,1급 사회복지사,0,기초의원비례대표선거,20100602
2013,한나라당,부산광역시,중구,김영이,정당인,58,19520120,통영여자고등학교 졸업,(전) 한나라당 중구 영주2동 여성회 회장,0,기초의원비례대표선거,20100602
2014,한나라당,부산광역시,서구,허유정,부산외국어대학교 일본어학부 강사,34,19751201,한국외국어대학교 대학원 신문방송학과 박사수료,한나라당 부산시당 상임 부대변인(현),0,기초의원비례대표선거,20100602
2015,한나라당,부산광역시,동구,오경희,동구의회의원,44,19651003,부산대학교 대학원 법학과 박사과정 졸업,"前, 한나라당차세대여성위원회위원장",0,기초의원비례대표선거,20100602
2016,한나라당,부산광역시,영도구,손향혜,정당인,65,19450327,이화여자대 사법대학 가정학과 졸업,前 부산 영선중학교 교장,0,기초의원비례대표선거,20100602
2017,한나라당,부산광역시,부산진구,문영미,한나라당 부산진갑 당원협의회 사무국장,50,19591130,동아대학교 사회복지대학원 사회복지학과(사회복지학 석사),(전)금정전자고등학교 교사,0,기초의원비례대표선거,20100602
2018,민주당,부산광역시,부산진구,조월연,문화인쇄공사부사장,63,19470117,미기재,열린우리당 부산진구갑 여성위원장,0,기초의원비례대표선거,20100602
2019,한나라당,부산광역시,동래구,박혜숙,주부,65,19440728,동래여자중 졸,前 부산시 새마을 부녀회장,0,기초의원비례대표선거,20100602
2020,민주당,부산광역시,동래구,조복선,복지사,49,19600618,부산여자대학 사회복지학과 졸업,열린우리당 부산진구 갑 여성 위원장,0,기초의원비례대표선거,20100602
2021,한나라당,부산광역시,남구,손애휘,남구의회 의원,45,19641107,한국해양대학교 대학원 졸업(경영학 박사),"前, 부산광역시의회 연구위원",0,기초의원비례대표선거,20100602
2022,민주당,부산광역시,남구,정혜숙,정당인,52,19571126,한국방송통신대학교 교육학과 1학년 재학중,민주당 부산광역시당 여성위원회 부위원장,0,기초의원비례대표선거,20100602
2023,한나라당,부산광역시,북구,손연자,정당인,63,19470330,부산정보대 사회복지과 1년 중퇴,(현)한나라당 부산광역시당 여성홍보단장,0,기초의원비례대표선거,20100602
2024,민주당,부산광역시,북구,이순영,(주)푸드다산영업이사,52,19580412,동아대학교 대학원 졸업 국어국문학 석사,(전)민주평화통일자문회의 자문위원,0,기초의원비례대표선거,20100602
2025,한나라당,부산광역시,해운대구,이상희,이화컬러디자인센터 원장,37,19721225,홍익대학교 대학원 디자인·공예학과 박사과정 휴학중,現 한나라당 부산시당 부대변인,0,기초의원비례대표선거,20100602
2026,민주당,부산광역시,해운대구,심형균,통합문화예술강사,41,19681225,동의대학교 성악과 졸업,전.음악학원 원장,0,기초의원비례대표선거,20100602
2027,한나라당,부산광역시,기장군,백영희,효자손재가 장기요양기관 관리부장,47,19620904,양산대학 사회복지보육학과 재학중,전)기장교리초등학교 학부모회 초대회장,0,기초의원비례대표선거,20100602
2028,한나라당,부산광역시,사하구,한정옥,정당인,54,19560226,가야대학교 사회복지학과 2학년 재학중,(현) 한나라당 사하갑 당원협의회 부위원장,0,기초의원비례대표선거,20100602
2029,민주당,부산광역시,사하구,이윤희,무,61,19481228,미기재,(현) 사하구 지역여성위원회 여성회장,0,기초의원비례대표선거,20100602
2030,한나라당,부산광역시,금정구,김남희,(사)부산지체장애인단체협의회부회장,47,19621123,한국방송통신대 교육학과 졸업,"現, 보건복지부 장애인복지실무위원",0,기초의원비례대표선거,20100602
2031,민주당,부산광역시,금정구,방희원,정당인,47,19630423,숙명여자대학교 역사학과 졸업,부산발전연구원 전문위원,0,기초의원비례대표선거,20100602
2032,한나라당,부산광역시,강서구,정옥영,(주)두영산기 대표이사,51,19581229,김해여자고 졸,"現, 녹산국가산업공단 경영자협의회 이사",0,기초의원비례대표선거,20100602
2033,한나라당,부산광역시,연제구,성명자,새마을운동 연제구 지회장,66,19430918,울산여자고등학교 졸업,(현)연제문화원 이사,0,기초의원비례대표선거,20100602
2034,한나라당,부산광역시,수영구,제인숙,리치웨이(주) 대표이사,60,19500510,대구미래대학 사회복지과 졸업,남천2동주민자치 부위원장(전),0,기초의원비례대표선거,20100602
2035,한나라당,부산광역시,사상구,조송은,정당인,49,19610124,경남정보대 사회복지과,"前, 모산초등학교 운영위원장",0,기초의원비례대표선거,20100602
2036,민주당,부산광역시,사상구,심정숙,(사)푸른마을 기획부장,43,19660614,부산대학교 행정대학원 행정학과 사회복지학 전공 석사 과정 1년 재학중,민주당 사상구 지역위원회 여성위원장,0,기초의원비례대표선거,20100602
2037,한나라당,대구광역시,중구,신정옥,신정옥콜렉션 대표,50,19600303,대구대 디자인대학원 디자인학 석사,현 신정옥컬렉션대표,0,기초의원비례대표선거,20100602
2038,한나라당,대구광역시,동구,김옥란,정당인,53,19570120,대구외국어대학교 사회과학부 3학년 재학(사회복지 전공),,0,기초의원비례대표선거,20100602
2039,친박연합,대구광역시,동구,이은영,정당인,46,19630901,성화중학교 졸업,전)서울뉴스 발행인,0,기초의원비례대표선거,20100602
2040,한나라당,대구광역시,서구,김명혜,정당인,65,19441021,대구여자고등학교 졸업,한나라당 대구시지부 서구지구당 부국장(전),0,기초의원비례대표선거,20100602
2041,한나라당,대구광역시,서구,성기순,한사랑 어린이집 대표,40,19691113,계명대학교 정책대학원 사회복지학 석사과정 졸업,(사)대구시보육시설연합회 민간분과 서구지화장(전),0,기초의원비례대표선거,20100602
2042,한나라당,대구광역시,남구,김종숙,한지공예원 원장,47,19630228,경북도립대학 스타일코디과 졸업,현 한나라당 남구여성위원회 부지회장,0,기초의원비례대표선거,20100602
2043,한나라당,대구광역시,북구,최영옥,주부,67,19430107,미기재,전)대구 북구새마을부녀회장,0,기초의원비례대표선거,20100602
2044,친박연합,대구광역시,북구,강지수,정당인,41,19680825,월배초등학교 졸업,전)산격3동 통장,0,기초의원비례대표선거,20100602
2045,한나라당,대구광역시,수성구,이정현,국회의원 비서,38,19710923,경북대학교 행정대학원 재학중(3학기),현 국회의원 이한구 비서,0,기초의원비례대표선거,20100602
2046,친박연합,대구광역시,수성구,박소현,학생,36,19740502,계명대학교 졸업(동양화 전공),계명대 동양학과 학생회장,0,기초의원비례대표선거,20100602
2047,한나라당,대구광역시,달서구,김화덕,주부,47,19630110,계명대학교 행정대학원 행정하고가 석사과정 4학기 재학중,달서구새마을부녀회장,0,기초의원비례대표선거,20100602
2048,한나라당,대구광역시,달서구,김해철,정당인,46,19631214,영남대학교 행정대학원 정치학과 정치홍보및선거전공 졸업(정치학석사),現 달서(을) 당협 부위원장,0,기초의원비례대표선거,20100602
2049,친박연합,대구광역시,달서구,신은주,전업주부,53,19570218,태광고등학교졸업,친박산악회 부회장,0,기초의원비례대표선거,20100602
2050,한나라당,대구광역시,달성군,김옥순,정당인,52,19571220,계명문화대학 사회복지상담 졸,현)박근혜국회의원사무소 여성부장,0,기초의원비례대표선거,20100602
2051,민주당,인천광역시,중구,최찬용,새순기획 대표,53,19570226,한국방송통신대학교 국어국문학과 졸업,새얼문학회장,0,기초의원비례대표선거,20100602
2052,민주노동당,인천광역시,동구,박윤주,근로복지공단 인천산재병원 간호사,35,19740605,계명대학교 간호대학 졸업,건강한세상 아름다운이웃 참의료 실천단 운영위원,0,기초의원비례대표선거,20100602
2053,한나라당,인천광역시,남구,임경임,한라상조(주)지사장,45,19650420,경북과학대학 사회복지계열사회복지전공 졸업,(사)대한주부환경연합 인천 남구지회장(현),0,기초의원비례대표선거,20100602
2054,민주당,인천광역시,남구,전경애,정당인,54,19550625,미기재,사단법인 남북교류환경연대 상임고문,0,기초의원비례대표선거,20100602
2055,민주당,인천광역시,연수구,장현희,정당인,57,19530116,인천인화여자고등학교 졸업,민주당 여성위원회부위원장,0,기초의원비례대표선거,20100602
2056,한나라당,인천광역시,남동구,김은선,한나라당 남동을 당협 여성부장,48,19620107,한국방송통신대학교 법학과 1학년 제적,남동농협 대의원(현),0,기초의원비례대표선거,20100602
2057,민주당,인천광역시,남동구,서점원,정당인,48,19611102,미기재,민주당 인천시당 남동갑 여성위원장,0,기초의원비례대표선거,20100602
2058,한나라당,인천광역시,부평구,한금옥,정당인,51,19590328,무주중학교 졸업,(전)한국자유총연맹부평구지부 여성회장,0,기초의원비례대표선거,20100602
2059,민주당,인천광역시,부평구,강순화,정당인,52,19580428,대입검정고시합격,인천시학교운영연합회지도위원,0,기초의원비례대표선거,20100602
2060,한나라당,인천광역시,계양구,민순자,회사원,52,19580101,혜원고등학교 졸업,한나라당 계양을 당협여성위원장(현),0,기초의원비례대표선거,20100602
2061,민주당,인천광역시,계양구,전선경,정당인,48,19611221,"대전실업전문대학 졸업(현, 우송정보대학)",(전)송영길 국회의원 여성정책 비서,0,기초의원비례대표선거,20100602
2062,한나라당,인천광역시,서구,이윤숙,다사랑 어린이집 시설장,35,19741015,한국방송통신대학교 유아교육과 졸업,현)인천시 서구 가정어린이집 연합회 회장,0,기초의원비례대표선거,20100602
2063,민주당,인천광역시,서구,김병근,어린이집 원장,52,19580201,군장대학 스포츠건강복지학과 졸업,다솔어린이집원장,0,기초의원비례대표선거,20100602
2064,한나라당,인천광역시,강화군,고영희,엘리트어린이집대표자,48,19620314,평생교육진흥원 사회복지학 전공,전)인천시 어린이집연합회 강화군지회장,0,기초의원비례대표선거,20100602
2065,한나라당,인천광역시,옹진군,유순일,옹진군자원봉사센터 소장,60,19490718,배화여자고등학교 졸업,인천시 옹진군 주민생활지원과장(전),0,기초의원비례대표선거,20100602
2066,민주당,광주광역시,동구,채명희,기간제 교사,55,19541028,광주대학교 산업대학원 문예창작학 석사,(현) 광주남초등학교 기간제 교사,0,기초의원비례대표선거,20100602
2067,민주당,광주광역시,서구,주경님,정당인,46,19631017,전남대학교 행정대학원 행정학과 지방자치전공 석사(2년재학),성공스피치 리더쉽센터장,0,기초의원비례대표선거,20100602
2068,민주노동당,광주광역시,서구,김은아,정당인,35,19750107,조선대학교 경상대학 회계학과 졸업,현)함께할 새누리 지역아동센터 대표,0,기초의원비례대표선거,20100602
2069,민주당,광주광역시,남구,한문덕,요가원 원장,51,19581028,성화대학 사회복지학과 졸업,(사)한국효도회 광주광역시남구지회장,0,기초의원비례대표선거,20100602
2070,민주노동당,광주광역시,남구,배진하,남구청 공무원 노동조합 사무차장,38,19710622,광주대학교 사회과학대학 신문방송학과 졸업,광주전남통일대축전행사위원회 조직국장(전),0,기초의원비례대표선거,20100602
2071,민주당,광주광역시,북구,전진숙,주부,41,19690205,전남대학교 일반대학원 사회학과 석사,한국여성단체연합이사,0,기초의원비례대표선거,20100602
2072,민주노동당,광주광역시,북구,최유진,정당인,26,19830627,전남대학교 농업생명과학대학 생명공학과 수료,(전)시민의소리기자,0,기초의원비례대표선거,20100602
2073,민주당,광주광역시,광산구,박묘임,주부,55,19550116,호남대 사회복지대학원 재학중 ,가. 민주당 광주광역시당 부위원장,0,기초의원비례대표선거,20100602
2074,민주노동당,광주광역시,광산구,김은정,정당인,37,19720628,송원전문대학교 건축과 1년제적,(전)광산중학교 운영위원,0,기초의원비례대표선거,20100602
2075,민주당,대전광역시,동구,김현숙,주부,46,19631119,경안여자정보고등학교 졸업,동구지역위여성부위원장,0,기초의원비례대표선거,20100602
2076,자유선진당,대전광역시,동구,오관영,무직,49,19610501,대전여고부설방송통신고 2학년 재학중,중앙동 새마을금고 이사,0,기초의원비례대표선거,20100602
2077,민주당,대전광역시,중구,서진,중촌사회복지관 운영부장(사회복지사),35,19750525,한남대행정복지대학원(사회복지학석사),대전시 중구지역복지실무협의체 위원,0,기초의원비례대표선거,20100602
2078,자유선진당,대전광역시,중구,이충선,정당인,50,19600505,미기재,자유선진당 당원협의회 중구여성위원장,0,기초의원비례대표선거,20100602
2079,민주당,대전광역시,서구,김영미,어린이집 원장,48,19611004,대전대 경영행정.사회복지대학원졸(사회복지학석사),대전시 가정어린이집연합회장,0,기초의원비례대표선거,20100602
2080,자유선진당,대전광역시,서구,전순덕,주부,54,19560103,대전 여자 고등학교 부설방송통신고등학교 졸업,새마을 둔산1동 부녀회장,0,기초의원비례대표선거,20100602
2081,민주당,대전광역시,유성구,인미동,한남대 교직원,34,19751207,한남대학교 교육대학원 졸업,(사)대전CEO아카데미 사무국 과장,0,기초의원비례대표선거,20100602
2082,자유선진당,대전광역시,대덕구,조용태,자영업,48,19620505,배재대학교 경영학 석사,뉴대전라이온스클럽회장(현),0,기초의원비례대표선거,20100602
2083,한나라당,울산광역시,중구,김순점,진주영재어린이집 시설장,42,19680127,울산대학교 정책대학원 사회복지학과 3년 재학중(석사),前한나라당 중구 차세대위원장,0,기초의원비례대표선거,20100602
2084,민주노동당,울산광역시,중구,정현희,회사원,39,19710315,울산대학교 주거환경학과 졸업,前민주노동당 울산시당 여성위원장,0,기초의원비례대표선거,20100602
2085,한나라당,울산광역시,남구,안진희,하나유학 대표,56,19530826,이화여자대학교 교육대학원 음악교육학과 졸업,(현)국제소롭티미스트 울산태화클럽 회장,0,기초의원비례대표선거,20100602
2086,민주노동당,울산광역시,남구,국일선,정당인,41,19681203,이화여자대학교 생물학과 졸업,(전)전국민주화학섬유연맹 조직국장,0,기초의원비례대표선거,20100602
2087,민주노동당,울산광역시,동구,박문옥,동구의회의원,34,19751216,울산대학교 사회학과 졸업,"현)민주노동당 중앙위원, 대의원",0,기초의원비례대표선거,20100602
2088,자유선진당,충청남도,논산시,박영자,정당인,56,19540409,논산여자고등학교 졸업,논산시의회의원,0,기초의원비례대표선거,20100602
2089,민주당,충청남도,계룡시,김미경,문화강좌 및 방과후수업 강사,46,19640105,한국방송통신대학교 국어국문학과 졸업,13기 민주평통자문위원 교육분과위원장,0,기초의원비례대표선거,20100602
2090,한나라당,충청남도,부여군,이삼례,자영업,55,19550308,부여여자고등학교,신한철강 대표,0,기초의원비례대표선거,20100602
2091,자유선진당,충청남도,부여군,이지순,국회의원 이진삼 비서,56,19540419,백제중학교 졸업,자유선진당 여성부장,0,기초의원비례대표선거,20100602
2092,자유선진당,충청남도,서천군,양금봉,노인요양센터 서천실버홈 대표,50,19590904,군장대학 졸,서천군새마을부녀회장,0,기초의원비례대표선거,20100602
2093,자유선진당,충청남도,홍성군,이해숙,정당인,50,19591107,대흥고등학교 졸업,전 홍성군재향군인회여성회장,0,기초의원비례대표선거,20100602
2094,자유선진당,충청남도,청양군,권혁자,농업,51,19590225,성화대학 사회사업복지 2학년 재학,정산면 자원봉사 회장,0,기초의원비례대표선거,20100602
2095,한나라당,충청남도,예산군,박순옥,주부,57,19530301,신례원초등학교 졸업,민주평화통일자문회의 자문위원,0,기초의원비례대표선거,20100602
2096,자유선진당,충청남도,예산군,최동순,정당인,60,19500202,예산중앙초등학교 졸업,자유선진당예산당협여성특위위원장,0,기초의원비례대표선거,20100602
2097,민주당,충청남도,당진군,최은성,학원강사,33,19761115,침례신학대학교 신학과 졸업,(현)민주당당진지역여성위원장,0,기초의원비례대표선거,20100602
2098,자유선진당,충청남도,당진군,편명희,(예비)사회적기업가정을건강하게하는시민모임 대표,63,19461110,고려대학교 법과대학 법학과 졸업,(전)당진군여성단체협의회장,0,기초의원비례대표선거,20100602
2099,한나라당,전라북도,전주시,최인선,정당인,54,19560323,전주비전대 사회체육과 졸,한국 B.B.S전북도연맹 여성위원장,0,기초의원비례대표선거,20100602
2100,민주당,전라북도,전주시,김혜숙,전주대학교 국제교육교류원 강사,55,19550109,전주대학교 일반대학원 박사과정 졸업,사)한국나눔운동연합회 전북지회장,0,기초의원비례대표선거,20100602
2101,민주당,전라북도,전주시,김도형,정당인,40,19691010,전북대학교 회계학과 졸업,민주당 전라북도당 총무국장,0,기초의원비례대표선거,20100602
2102,국민참여당,전라북도,전주시,이옥주,정당인,50,19590608,전북대학교 대학원 졸업,(전)예수병원 노조위원장,0,기초의원비례대표선거,20100602
2103,한나라당,전라북도,군산시,엄문정,정당인,69,19400701,한양대학교 섬유공학과 졸업,(현)새만금코리아 고문,0,기초의원비례대표선거,20100602
2104,민주당,전라북도,군산시,함정식,정당인,70,19400120,군산대학교 대학원 유아교육과 석사졸업,(전)초등학교 교장,0,기초의원비례대표선거,20100602
2105,민주당,전라북도,군산시,채경석,정당인,67,19421015,군산수산고등전문학교(군산대학교) 졸업,(전)제3대 군산시의회의원,0,기초의원비례대표선거,20100602
2106,민주당,전라북도,익산시,김영희,무직,50,19591119,원광대학교대학원 행정학과 졸업(박사),(전)원광대학교인력개발여대생커리어개발센터책임연구원,0,기초의원비례대표선거,20100602
2107,민주당,전라북도,익산시,성신용,무직,59,19510515,원광보건대학 사회복지과 1년 휴학,(현)민주당익산(을)지역위원회 사무국장,0,기초의원비례대표선거,20100602
2108,민주노동당,전라북도,익산시,이경애,단체활동가,39,19701016,인천대학교 일어일문학과 3년 수료,(전)민주노총전북본부 교육부장,0,기초의원비례대표선거,20100602
2109,민주당,전라북도,정읍시,김기순,자영업,64,19460403,전주여자고등학교 졸업,(현)민주당 정읍지역위원회 여성 위원장,0,기초의원비례대표선거,20100602
2110,민주노동당,전라북도,정읍시,박연희,농업,43,19660915,건국대학교농과대학농업교육학과졸업,(현)민주노동당정읍시위원회여성위원장,0,기초의원비례대표선거,20100602
2111,민주당,전라북도,남원시,김정숙,무직,55,19540714,전주기전대학교 졸업,,0,기초의원비례대표선거,20100602
2112,민주당,전라북도,남원시,양희재,국회의원 비서,51,19580707,원광디지털대학교 사회복지학과 졸업,남원시 태권도협회 수석부회장,0,기초의원비례대표선거,20100602
2113,민주당,전라북도,김제시,김영자,무,47,19630205,원광여자종합고등학교 졸업(현.원광여자고등학교),(현)김제시 사랑의열매봉사단 부단장,0,기초의원비례대표선거,20100602
2114,민주노동당,전라북도,김제시,김영미,농업,44,19660114,전주여고부설방송통신고등학교 졸업,(전)김제중학교 운영위원,0,기초의원비례대표선거,20100602
2115,민주당,전라북도,완주군,이향자,무,50,19600303,기전여자고등학교 2년 제적,(전) 성신피아노학원장,0,기초의원비례대표선거,20100602
2116,민주당,전라북도,진안군,김수영,무직,61,19490429,이리여자중학교 졸업,(현)민주당 여성위원장,0,기초의원비례대표선거,20100602
2117,민주당,전라북도,무주군,전선자,무,62,19480324,개정간호학교 졸업,(전)무주군 여성단체협의회 초대회장역임,0,기초의원비례대표선거,20100602
2118,민주당,전라북도,장수군,최희숙,장수군자원봉사종합센터 소장,58,19520207,미래중학교 졸업,장수군자원봉사종합센터 소장,0,기초의원비례대표선거,20100602
2119,민주당,전라북도,임실군,김명자,정당인,64,19460507,초당대학교산업대학원 사회복지학과 졸업,임실군 보건의료원 보건사업과장,0,기초의원비례대표선거,20100602
2120,민주당,전라북도,순창군,이기자,무직,53,19570315,전남과학대학 사회체육계열 재학,,0,기초의원비례대표선거,20100602
2121,민주당,전라북도,고창군,조금자,무직,66,19431107,신림초등학교 졸업,적십자 고창지구협의회장,0,기초의원비례대표선거,20100602
2122,민주당,전라북도,부안군,김홍우,무직,51,19581002,김제벽성대학 사회복지경영과 졸업,"(사) 농가주부모임 부안군,전북연합회장,중앙회 감사",0,기초의원비례대표선거,20100602
2123,민주당,전라남도,목포시,서미화,시민사회단체활동가,42,19671106,동신대학교 사회개발대학원 졸업 (사회복지학석사),(전)전남여성장애인연대 상임대표,0,기초의원비례대표선거,20100602
2124,민주당,전라남도,목포시,이방수,문화예술인,45,19650301,목포대학교 인문과학대학 미술학과 졸업 (미술학사),(현)극단 갯돌 대표,0,기초의원비례대표선거,20100602
2125,민주노동당,전라남도,목포시,강정자,정당인,42,19670608,목포대학교 생활과학대학 가정학과 졸업,(현)민주노동당목포시위원회 부위원장,0,기초의원비례대표선거,20100602
2126,민주당,전라남도,여수시,백인숙,회사원,48,19610703,여수중앙여고 졸업,민주당 여수갑 여성위원장,0,기초의원비례대표선거,20100602
2127,민주당,전라남도,여수시,주연창,정치인,42,19670908,전남대학교 졸업,국회의원 비서관,0,기초의원비례대표선거,20100602
2128,민주노동당,전라남도,여수시,임순악,노동자,50,19600110,무기재,여수건설노동조합 여성분회장,0,기초의원비례대표선거,20100602
2129,민주당,전라남도,순천시,손옥선,정당인,54,19560422,순천여자고등학교 졸업,(전)전국공무원노조순천시지부장,0,기초의원비례대표선거,20100602
2130,민주당,전라남도,순천시,주윤식,순천남도청과(주)대표,49,19601023,순천제일대학 사회복지과 졸업,(현)순천남도청과(주) 대표,0,기초의원비례대표선거,20100602
2131,민주노동당,전라남도,순천시,이복남,정당인,38,19720505,순천대학교 산림자원학과 졸업,그린순천21사무국장,0,기초의원비례대표선거,20100602
2132,민주당,전라남도,나주시,박순복,정당인,60,19500405,동강대학 사회복지행정학과 졸업,(현)나주시여성단체협의회장,0,기초의원비례대표선거,20100602
2133,민주노동당,전라남도,나주시,임연화,나주시여성농업인센터 대표,43,19660927,송원실업전문대학 유아교육과 졸업(송원대학),민주노동당 나주시위원회 여성위원장,0,기초의원비례대표선거,20100602
2134,민주당,전라남도,광양시,김성희,정당인,52,19571012,전남과학대학 사회복지과 졸업,(현)국제라이온스355B3지구홍보실장,0,기초의원비례대표선거,20100602
2135,민주노동당,전라남도,광양시,허정화,건설노동자,32,19771126,순천대학교 경제학과 졸업,(현)민주노동당 여성위원장,0,기초의원비례대표선거,20100602
2136,민주당,전라남도,담양군,변정숙,사회복지사,51,19580819,동아인재대학 복지관광학부 사회복지학과 졸업,(현)담양문화원 부원장,0,기초의원비례대표선거,20100602
2137,민주당,전라남도,장성군,조의순,원예복지사,61,19490116,광주전산고등학교졸업,전)한국부인회 전라남도지부장,0,기초의원비례대표선거,20100602
2138,민주당,전라남도,곡성군,김경자,주부,56,19540603,곡성실업고등학교 졸업(현 전남조리과학고등학교),현)자유총연맹 전라남도 여성협의회 회장,0,기초의원비례대표선거,20100602
2139,민주당,전라남도,구례군,김성현,정당인,65,19450424,전주교육대학교 졸업,현) 민주당구례군여성위원장,0,기초의원비례대표선거,20100602
2140,민주당,전라남도,고흥군,송인숙,고흥유자전통식품 대표,61,19490502,한국방송통신대학교 졸업(유아교육과),전)전남여성신지식인회장,0,기초의원비례대표선거,20100602
2141,민주당,전라남도,고흥군,최설희,가사,55,19541121,조선대학교병설 간호전문대학 간호과 졸업,전)보성초등학교 교사,0,기초의원비례대표선거,20100602
2142,민주당,전라남도,보성군,김수연,자영업(요식업),59,19501117,광주조선대학교 여자중학교 3년중퇴,전)한국불우청소년선도회 보성지회 여성부회장,0,기초의원비례대표선거,20100602
2143,민주당,전라남도,화순군,유경숙,정당인,46,19640513,총신고등기술학교 유아교육과 (현 백석예술대학) 졸업,,0,기초의원비례대표선거,20100602
2144,민주당,전라남도,장흥군,김복실,자영업(장흥주류대표),61,19490505,대불대학교 사회복지학과 1학년 재학중,현)민주당 전남도당 봉사단장,0,기초의원비례대표선거,20100602
2145,민주당,전라남도,강진군,문춘단,정당인,47,19630228,광주여자대학교 상담심리학과 졸업,전) 강진군민장학재단 사무국장,0,기초의원비례대표선거,20100602
2146,민주당,전라남도,완도군,김주,정당인,57,19520923,조선대학교 여자고등학교 졸업,전) 완도군여성단체협의회장,0,기초의원비례대표선거,20100602
2147,민주당,전라남도,해남군,이순이,정당인,58,19510909,대불대학교 사회복지학과 졸업,현)민주당 해남지역위원회 여성위원장,0,기초의원비례대표선거,20100602
2148,민주노동당,전라남도,해남군,문성희,주부,35,19750228,학력인정 예원정보여자고등학교 졸업,둘리분식운영,0,기초의원비례대표선거,20100602
2149,민주당,전라남도,진도군,장덕희,정당인,53,19560817,학력인정목포제일정보고등학교 1년 재학,현)민주당 진도지역위원회 여성위원장,0,기초의원비례대표선거,20100602
2150,민주당,전라남도,영암군,유영란,정당인,62,19480324,대불대학교 사회복지학과 졸업,전)전라남도의회의원,0,기초의원비례대표선거,20100602
