"ID","용역명","용역기간(시작)","용역기간(끝)","용역기관","필요성","연구개요"
"9757","(가칭)50 재단 설립 타당성 검토 연구용역","2014-12-26","2015-04-25","한국보건사회연구원(대표 : 최병호)","○ 인생전환기를 맞은 베이비부머 관련 정책 및 비전을 제시하는 싱크탱크 허브역할 수행 관련 인프라 체계적 지원을 위한 종합컨트롤 타워로서 재단 설립 필요 ○ 관련 법률에 의거 재단 설립 전 타당성 검토절차 이행 필요","○ 과 업 명 : (가칭)50+재단 설립을 위한 타당성 조사 연구  ○ 과업기간 : 2014. 11 ? 2015. 2(3개월) ○ 수행기관 : 한국보건사회연구원(정부출연연구기관) ○ 용 역 비 : 46000천원"
"7477","구 북부지원 청사를 활용한 박물관몰 운영 계획 연구용역","2014-12-24","2015-06-23","(사)한국문화공간건축학회(대표사)","○ 박물관몰 건립목적 및 환경 여건에 부합하는 구체적인 운영 방향을 정하고자 함 ○ 박물관운영&#8228;시설관리 등 소요인력 분석 홍보&#8228;마케팅 체험 중심의 프로그램    개발 및 활용방안 모색 ○ 박물관 개관 전 유물확보 서비스 방향&#8228;방식 재정자립도 제고방안 도출 ○ 시민 서비스 수준을 향상시키고 경영을 합리화함은 물론 시민의 문화    향수 기회와 질을 높이는데 필요함","○ 용 역 명 : 「구 북부지원 청사를 활용한 박물관몰 운영 계획 연구용역』 ○ 용역기간 : 계약일로부터 6개월 ○ 연구수행방법 : 학술연구용역사업으로 추진 ○ 발 주 방 법 : 일반경쟁입찰(협상에 의한 계약)    ※ 연구용역기관의 신뢰성 확보를 위해 용역수행에 필요한 인력을 갖추고        유사용역을 수행해 본 경험이 있는 기관과 우선협상  ○ 용역기간 : 2014. 4 ~ 2014. 9(6개월) ○ 소요예산 : 100000천원"
"8778","중장기 디자인정책방향 설정 및 사업계획 수립","2014-12-18","2015-10-17","(주)한국평가원","- 시민 삶의 질 향상에 실질적으로 기여하기 위한 디자인정책 로드맵 필요   . 디자인의 본질인 '생활.안전.복지의 향상'은 시민 삶의 질 향상에 실질적 기여를 추구하는 디자인     정책의 근간이 되는 보편적 가치인 바 디자인정책의 성공적 구현을 위해 실효성 있는 정책로드맵     설정 필요   . 디자인정책의 성공적 시행과 지속가능성 확보를 위해 최신의 디자인 트렌드를 반영하고 예측 가능한     서울의 사회환경 변화에 대비한 효과적 디자인정책 방향 제시 필요 - 디자인정책 정체성 확립 및 체계적 추진 위한 중장기사업계획 수립 필요   . 최근 디자인에 대한 정의 확장 경향 및 시정 서비스 전반에 '디자인' 용어의 폭넓은 적용에 따라     시 디자인정책 현황 진단을 통한 정체성 확립 요구 제기   . 유니버설디자인.시민서비스디자인 등 시민 생활 체감형 디자인정책의 체계적 추진을 위한 중점     추진과제 발굴 및 중장기사업계획 수립 필요","- 기    간 : 계약일로부터 10개월 - 사업예산 : 80백만원 이하 - 과 업 명 : '서울시 디자인정책 중장기사업계획 수립' - 과업목표   . 시 디자인정책 현황 진단 및 정책의 효과적 추진 위한 환경조성방안 제시   . 디자인정책의 지속가능성 확보 위한 방향 설정 및 중장기사업계획 수립 - 추진방법   . 사업시행 : 외부 전문기관 대상 경쟁(제안서 심사)을 통한 사업자 선정 후 사업 위탁   . 정책수혜자 의견 수렴 : 민관협력체제 구축.운영 온.오프라인 의견 수렴   . 연구결과 검토 : 시 디자인감독 및 전문가 자문위원회 검토.조언 의뢰 - 활용계획   . 용역 결과를 시 디자인정책 로드맵 및 연차별 투자계획 수립에 반영   . 연구 과정에서 발굴된 중점추진과제를 실행계획 및 예산 편성에 반영"
"9657","영등포고가하부 긴급구호용 주택건설사업 갈등영향분석","2014-12-04","2015-02-03","(사)한국정책학회","○ 영등포고가하부에 긴급구호용 주택건설을 추진중으로 쪽방촌과 인근 주민들의 사업추진 반대 등 갈등이 심각해지고 있어  ○ 실질적인 사업 추진을 위해 이해당사자간의 실질적인 요구 및 의견을 면밀히 분석하여 이해관계자간 입장 차이를 좁혀 나갈 수 있는 대안 마련이 필요하며 ○ 갈등의 전개 양상이 동태적이고 내용도 다양하므로 갈등영향분석을 통하여 갈등 실체를 파악하고 이해관계를 분석하여 쟁점 대안 합의형성 가능성 갈등조정 절차 및 실행 등 해결방법이나 완화방안을 설계하기 위해 연구 필요","○ 영등포 고가하부에 주거취약계층을 대상으로 한 긴급구호용 주택건설사업을 추진중이나 인접한 쪽방촌 철공업소 및 인근 주거지역 주민들이 사업을 완강히 반대하는 등 갈등이 심각해지고 있는 상황임  ○ 갈등 대상자인 이해관계인의 의견을 수렴한 후 협상 또는 조정할 수 있는 대안을 마련 및 갈등조정절차 설계 등을 통해 갈등을 해소하고 원활한 사업 추진을 할 수 있도록 조치하고자 함"
"9341","마곡산업단지 공공산업지원시설 건립 타당성조사 학술용역","2014-12-04","2015-07-03","서울공공투자관리센터","○ 마곡산업단지내 공공산업지원시설 건립을 위한 사례분석 기업?대학의 수요예측 사업추진의 타당성 기본구상 정책적 제안 등에 관하여 연구를 실시하고자 함","○ 용 역 명 : 마곡산업단지 공공산업지원시설 건립 타당성조사 학술용역 ○ 용역기간 : 계약일로부터 약 4개월 ○ 수행기관 : 서울연구원 ○ 용역내용   - 수요조사 및 분석  - 건립 타당성 조사&#8228;연구  - 기본구상 및 정책 제안"
"9220","연료전지 설치조사 및 지하수 등 활용방안 연구용역","2014-11-21","2015-02-23","한국에너지기술연구원","○ 날로 심각해지는 기후변화 및 에너지 위기시대 대응을 위하여  신재생에너지 확대보급과      도시의 미활용 에너지원 개발 필요    - 서울시 에너지소비량 대비 신재생에너지 보급률 2.0%불가(‘12년)   - “연료전지”는 도심내 적합한 고효율 에너지원으로 신재생에너지      확대 및 블랙아웃시 도시철도 등 도시기반시설 가동 안정성 확보   - 지하철 등 유출지하수 56700톤/일 미활용 (‘13년 178599톤/일 발생)","서울의 부족한 신재생에너지 확대보급과 다양한 에너지원 개발을 위하여 연료전지 설치가능 장소 조사와 그 간 버려지고 있는 지하철 등 지하 유출수 및 도시의 미활용에너지 활용방안을 연구함"
"8777","의료급여수급권자 의료이용에 대한 요양기관 중심의 ‘의료급여 재정 효율화 정책제안","2014-09-16","2014-12-31","호서대학교 산학협력단","의료급여 수급권자에 대한 지속적인 의료비 증가는 서울시 의료급여 재정운영에 주요 쟁점사항으로 ○ 의료급여 재정지출의 큰 장애요인을 개선하기 위하여 의료수급권자의 적정한 의료이용에 대한 요양기관 중심의 효과적인 전략과 효율적인 관리방안 개발이 요구되며 ○ 또한 의료급여 비용관리 및 의료의 질 개선을 위하여 측정 가능한 지표 설정과 서울시 의료급여 사업에 대한 단기 및 중장기적인 정책 마련이 필요함","○ 의료급여 관리의 효용성과 효율성 제고를 위한 미시적이고 구체적인    정책제안 ○ 의료급여 수급자 및 요양기관에 대한 비용효과적인 관리방안 제시 ○ 의료수급자 의료이용 개선을 위한 광역자치단체 개입 관리영역     제시 ○ 의료이용에 대한 지속관리를 위한 측정 가능한 지표설정 및     통계모형 제시"
"8277","3.1운동 100주년 기념사업 연구용역","2014-09-04","2015-02-04","(재) 서울연구원","2019년은 3?1운동 100주년이 되는 해로서 3?1운동의 거점으로 중요한 역할을 해온 천도교중앙대교당을 중심으로 북촌 인사동 일대의 역사적 장소를 발굴하고 이를 근현대 역사교육의 산 현장으로 활용할 필요가 있음.","○ 과 제 명 : 3?1운동 100주년 기념사업 연구용역 ○ 용역기간 : 5개월 ○ 용 역 비 : 50000천원 ○ 수행기관 : 수의계약 선정(본 연구분석의 전문성 확보) ○ 주요내용   - 삼일로 주변지역과 북촌?인사동?종로일대에 위치한 3?1운동의 의미를 살리는 역사적 거점 발굴 및 숨겨진 이야기 정리 분석   - 주요거점에 대한 공간계획을 통해 역사교육 및 탐방노선 계획 이를 실행할 수 있는 연차별 단계별 실행계획 수립"
"8698","생활폐기물 적환장 및 환경미화원 휴게실 개선방안","2014-08-29","2015-04-30","서울연구원","○일관된 기준에 근거한 전체 적환장(폐기물 임시 보관 장소)에 대한 실태 문제점 및 필요성 등 현황 자료 부족 ○생활폐기물의 발생이 많은 도시에서 반드시 필요한 시설이지만 낡고 도시미관과 어울리지 않고 악취와 소음을 유발하고 구조적으로 제 기능을 못하는 시설이 많아 개선이 요구됨   ○환경미화원의 근무시간 청소행태 등 다양한 현장 여건을 감안한 실질적인 청소 근로환경 시설 개선 기준 필요 ○특히 한정된 토지자원과 재정 여건을 감안한 실행 가능한 적환장 및 환경미화원 휴게실의 개선 방안의 마련이 필요함","서울시 생활페기물 적환장과 환경미화원 휴게실에 대한 전반적인 실태조사를 실시하고 토지 재정 주민 수용성 등 한정된 자원을 효과적으로 활용할 수 있는 개선방안을 마련하고자 함"
"7339","성과기반보상 어르신자살예방사업 성과평가 학술용역","2014-08-27","2014-12-12","임팩트스퀘어","○ 우리나라 최초로 비영리분야 성과기반보상 접근의 어르신자살예방 공익활동지원사업을 시행함에 따라  ○ 성과기반보상 접근에 의한 비영리분야 역량강화 및 사업성과에 미치는 영향 분석 등 자체 성과 정리 필요    ○ 외국사례분석과 우리나라 시민사회지형의 비교분석을 통해 우리나라에 발전적 적용방안 강구할 필요가 있음.","○ 연구목적 : 국내 최초로 도입된 성과기반보상 어르신자살예방사업의 사업성과를 재조명하고 우리나라 시민사회 지형에 적용가능한 비영리단체지원분야 투자기법 도입방안을 제시하고자 함."
"7717","서울-지역 상생공동체 만들기 사업모델 개발 및 지속성 제고에 관한 연구","2014-08-01","2015-01-30","(사)한국지방자치학회","○ 서울에 부족한 자원과 지역의 수요를 상호 공유하여 서울과 지역간 보유자원 극대화 ○ 서울과 지역 도시와 농촌 등 이분법적 시각에서 탈피한 상생협력 관계 구축 필요 ○ 시민들이 직접 참여하고 몸으로 체감할 수 있는 시민행복에 직접 기여할 수 있는 교류협력 사업 발굴","○ 서울-지역간 상생공동체 만들기의 철학적 근거 마련 ○ 각 지역 주민이 원하는 교류협력 사업에 대한 요구조사 분석 ○ 지역별 교류협력 사업 현황 및 자원 조사 분석 ○ 교류협력 사업모델 개발 및 자원공유 방안 제시 ○ 교류협력 사업의 지속성 유지를 위한 플랫폼 제시"
"8377","위기관리 커뮤니케이션 전략 및 가이드라인 수립 학술연구용역","2014-07-25","2014-12-19","주)피크15 커뮤니케이션","&#9702; 서울에는 다양한 사건/사고가 빈번하게 발생 최근 위기 자체가 주는 위협보다 불필요한 오해 루머 왜곡된 정보 등 커뮤니케이션 문제로 인해 위기 증폭  &#9702; 위기를 예방하고 위기의 파급으로 인한 피해를 조기에 차단하는 데 있어 커뮤니케이션의 역할이 매우 중요","&#9702; 위기관리 커뮤니케이션 전략 및 개선방안 연구   - 위기관리 커뮤니케이션 역량 강화를 통해 위기를 조기에 수습하고 불필요한 이슈화 및 사회적 갈등 양산을 예방   - 국내외 위기관리 사례분석 서울시 위기관리 현황 및 실태 분석(조직 체계 절차 방법 등) 커뮤니케이션 기본원칙 및 전략 개발 평가방안 등 연구   &#9702; 위기관리 커뮤니케이션 교육   - 또한 위기상황에 따른 커뮤니케이션 교육 및 가상 시나리오에 따른 실습형 워크숍을 통해 관계공무원의 위기관리 내재화 증진"
"7245","서울시 지역에너지 기본계획 2035","2014-07-23","2015-02-28","서울연구원","○ 지역에너지계획은 법정계획임    -「에너지기본법」제7조 5년마다 지역에너지계획을 수립해야 함 ○ 국가의 에너지위기 극복에 선도적인 대응 필요    - 정부에서 수립중인 제2차 국가에너지기본계획과 연계    - 대도시 서울의 에너지자급률 제고를 통한 지속가능 경영비전 필요    - 원전하나줄이기(2012~2014) 이후의 新에너지 경영전략 모색 ○ 세계기후환경 수도 서울의 위상 정립    - 기후변화세계시장협의회 의장도시로서 도시 기후변화 대응부문에서 국제적 리더십을 발휘해야 함","○ 국가에너지 기본계획 분석 및 서울시 대응방안 마련 ○ 서울시 제3차 지역에너지 기본계획 및 에너지정책 평가를통한 新 에너지 경영전략 마련 ○ 서울의 에너지 자급률 제고를 위한 목표 설정   - 온실가스 배출 에너지 소비 및 신재생에너지 보급 추이 분석 및 향후 전망(BAU 기준안) ○ 부문별 에너지 소비 및 온실가스 배출 감축 계획   - 신재생에너지 생산 에너지 효율화 에너지 절약 집단에너지및 에너지 복지 대책 등"
"8197","국내외 임대차제도 조사를 통한 주택임대차제도 운영?개선방안 연구","2014-07-16","2015-02-10","중앙대학교 산학협력단","○ 서울 전체가구의 약 60%가 차가가구로 공공임대주택 입주가구 등을 제외하면 약 2백만 가구가 민간임대주택에 유상으로 거주 중이며  ○ 최근 전세의 월세전환 증가에 따라 전세가격이 급등하고 서민의 월세부담이 늘어나는  등 주택임대차시장의 구조변화가 급격히 진행되고 있는 실정으로  ○ 현행 주택 임대차 보호법은 이러한 주택 임대차시장의 구조적 변화에도 불구하고 주로 임차권의 대항력과 보증금 반환채권의 보호에만 초점을 두고 있어 장기임대차계약 과도한 월세부담 방지 등 세입자의 보호기능은 미비함 상황임.  ○ 이에 우리시에서는 서민주거안정을 위한 주택임대차보호법 개정을 위해 법무부와 주택임대차보호법 TF(‘12.9~)를 통해 지속적인 협의를 하고 신정부 인수위 건의사항(’12.12)으로도 건의하고 있으며 공공임대주택 지속공급 전월세보증금 지원센터 운영 지역별 전월세 전환율 공개 등 서울시 차원의 대책 마련을 강구하고 있으나 한계가 있음.","○ 전세의 월세전환 증가에 따라 전세가격이 급등하고 서민의 월세부담이 늘어나는 등 주택임대차시장의 구조변화가 급격히 진행되고 있는 실정으로   ○ 임차시장의 구조변화에 대응하여 월세중심의 선진 임대차제도의 체계적인 연구를 통해 주택임대차보호법의 운영 및 개선방안을 마련하여 월세 거주자의 거주 안정성을 확보를 위한 주거권강화규정을 신설하는 등 임차인 보호를 위한 제도적 장치를 마련하고  ○ 서울시는 타 시도와 달리 매우 높은 임대료 수준을 감안 우리시의 실정과 임대차시장 특성에 부합하는 독자적인 주택임대차제도를 확립할 수 있는 방안을 마련코자 함."
"8298","정릉동 차고지 활용방안을 위한 연구용역","2014-07-08","2014-12-01","서울연구원","○ 시내버스 차고지가 주민 기피시설(혐오시설)로 인식되어 제기된 성북구 정릉동 차고지 이전요구 민원이 발생되고 있어 ○ 현장시장실 운영시 건의된 친환경 공영차고지 건설(복합커뮤니티건립) 계획에 대한 방안을 제시하여 ○ 향후 유사한 여건의 차고지에 대하여 친환경 및 주민편의를 위한 차고지의 건설 방안을 제시하고자 함","○ 과 업 명 : 정릉동 차고지 활용방안을 위한 연구용역 ○ 과업기간 : 계약체결일로부터 3개월 ○ 소요예산 : 32538천원  ○ 시행방법 : 학술용역(수의계약) ○ 중점연구사항   - 차고지 지형 특성과 기능을 고려하여 건축방법 및 재정부담 최소화 방안 제시   - 주민구성현황등을 고려한 지역교류 및 지역주민의 생활을 지원하는 거점으로서의 복합문화시설 용도 대안 제시     - 서울시 자치구의 재정조정에 관한 조례에 의거성북구의 제정분담금 제시     - 향후 유사 시내버스차고지의 민원최소화 및 복합개발 허용방안 제시"
"8297","집단에너지사업 운영 효율화방안 학술용역","2014-07-01","2015-02-17","(재)한국산업관계연구원","○ 서울시 집단에너지사업 운영효율화에 대한 정책결정의 판단근거(아래 사항)로서 본 용역의 시행 필요    - 공사화(안)과 매각(안)의 장단점 비교 및 최적 운영방안      . 최종 정책 판단을 위한 체크리스트 작성    - 정책결정 안(案)에 대한 구체적 실행방안 수립","○ 본 용역은 맥킨지 컨소시엄의 서울시 ‘시정 주요분야 컨설팅용역(’13.3월~‘14.2월)’에서 제안된 서울시     집단에너지 운영체계 개선과 관련 효율적인 정책결정을 위하여 시행함    - 서울시 집단에너지사업의 대?내외 경영환경 분석을 통한 기후환경 에너지정책 방향과 집단에너지 역할 모색     - 서울시 집단에너지사업 현황 분석 및 에너지정책 발전방향    - 대안별(에너지공사 설립 또는 민간매각) 장단점 분석 및 정책판단 검토과제 분석    - 정책결정 안(案)에 대한 구체적 실행방안 수립"
"7244","미등록 이주아동 인권보호 및 사회적응방안 마련 연구","2014-06-24","2015-02-25","(재)청소년희망재단","- 이준민 아동들에 대한 정확한 실태조사를 실시하여 그동안 소외되었던 아동들에 대한 관심과 정책적 제도 마련필요 - 장애인에 대한 공공기관 문화예술 시설에서 이용 차별 근무환경에서의 정당한 편의제공 실태를 조사하여 일반인들과 동등한 권리를 누릴 수 있는 정책대안 제시 필요 - 인권정책 기본계획 시행계획 수립 및 분야별 정책 수립시 참고 및 기초자료로 사용하기 위해 필요함","- 이주아동 인권에 대한 실태조사 실시 - 서울시 실거주 이주아동에 대한 규모조사 및 분석 - 이주아동 실태조사 결과 문제점에 대한 정책적 대안 마련 - 국제인권기준 및 외국의 사례분석 국내정책 조사 및 연구 - 위탁시설 공공기관 등에서 장애인 장애인 근로자에 대한 편의제공 실태 및 차별조사 - 장애인 실태조사 분석을 바탕으로 정책 개선점 도출"
"7479","서울형 사방시설 설계 및 시공기준 학술연구용역","2014-05-30","2015-08-29","서울연구원","○ 자연사면 복구 공법 중 계간 및 야계사방공법은 계곡부의 특성에 따라 적용되야 하므로 서울시의 치수관리체계에 적합한 사방시설의 가이드라인의 제정이 필요함  ○ 최근 수년간 국내에서 시공된 사방시공사례가 많음에도 불구하고 아직까지 이에 대한 설계지침 및 설계적용이 불명확한 상황이며 기존의 불명확한 설계방법의 답습으로 인하여 사방 설계 기술이 낙후되어 있으므로 이를 통하여 도심지에 적합한 사방시설의 개발이 가능  ○ 서울시에 어울리는 자연 친화성 경제성 안전성 등의 각 요소를 고려한 최적화된 사방시설로 사면재해 예방기능의 향상","○ 서울시 산사태 연구 로드맵 연구 결과 서울시 산지 및 도시생활권 연접지 사면재해로 인한 인명 재산 피해저감을 위한 단기 및 중장기 연구과제가 도출되었으며 2013년 학술용역으로 시급한 연구과제에 대한 연구필요.  ○ 서울 산지지형 및 지반특성에 적합한 사면재해시설의 설계기준 및 공사시방서를 제정하여 기존 사방시설 보다 안정적이고 경제적이며 친환경적인 사방시설 설치 필요"
"7377","서울시 에너지자립마을 조성방안 및 운영매뉴얼 개발","2014-05-29","2015-01-30","안전환경연구실","○ 건물 및 수송 등 모든 에너지 소비활동이 이루어지는 마을에서의 에너지 수요감축과 신재생에너지     생산이 가능한 에너지자립마을 조성이 절실히 필요 ○ 2013년 총 11개 마을 주민들이 마을별로 특성에 맞게 에너지자립 목표(5~30%)를 세우고 에너지자립    활동을 추진중이나 도심속 마을에서의 주민들의 에너지자립활동에 대한 구체적인 방법 제시가 어려움 ○ 자립마을 추진성과 및 자립률 분석은 실제 통계수치에 의한 정량적 에너지 절감량 분석이 일반적이나    다양한 에너지홍보 활동에 대한 정성적 평가방법 제시 ○ 마을에서의 에너지소비량은 다양한 주거형태 주민 전출입 생활수준 등 다양한 사회&#8228;경제적 여건에    따라 영향을 받으므로 기온변화 가전제품 수요 및 건물 증가 소비패턴 등 종합적 변수 감안한     추진성과 측정필요  ○ 서울시의 행정적 재정적 지원하에 에너지자립마을 사업이 3년차 되는 ‘14년에는 그동안의 성과를 정리하고 매뉴얼화 하여 타 마을에 적용 확산 전파할 필요가 있음","○ 추진배경  - 온실가스를 줄이고 기후변화에 대응하는 도시를 조성하기 위해서는 무엇보다도 에너지 수요 감축과    신재생에너지 생산이 가능한 에너지자립마을 조성이 절실한 상황  - 마을 유형별 에너지 소비실태를 파악하여 각각의 에너지 자립방안 도출 및 도시형 매뉴얼 개발    보급으로 에너지자립마을 확산에 선도적인 역할 수행  ○ 연구범위   - 공간적 범위 : 서울특별시 및 전국(비교분석에 국한)  - 내용적 범위 : 에너지자립마을 11개소 마을형태 에너지소비 실태파악                   마을 유형별 에너지 자립방안 모색"
"8157","「서울시 친환경무상급식 성과평가와 발전전략 연구」","2014-05-07","2014-09-06","(사)한국사회학회","ㅇ 2014년 서울시 초&#8228;중학교 친환경무상급식 전면실시에 따라 시행 3년째를 맞은 친환경무상급식 추진성과    에 대한 객관적 평가 필요 ㅇ 친환경무상급식 시행 전&#8228;후 변화된 급식 환경에 적합한 학교급식 정책 개발 필요 ㅇ 서울형 공공급식에 적합한 식재료 공공조달시스템 구축 및 적용을 위한 체계적인 전략과 접근 필요","ㅇ용역명 : 서울시 친환경무상급식 성과평가와 발전전략 연구 ㅇ용역기간 : 2014. 4~6월 ㅇ수행방법 : 경쟁입찰(협상에 의한 계약)에 의한 전문기관 선정?수행 ㅇ소요예산 : 34980천원 (조직담당관 용역 포괄예산 사용)"
"7197","광나루안전체험관 업그레이드 연구용역","2014-04-22","2014-08-15","산학협력단","○ 개관 11년이 지난 현 시점에서도 개관 당시의 체험시설과 콘텐츠로만 운영됨에     따라 시대환경 변화와 시민의 눈높이를 반영하지 못하고 있고 성능향상 등      노후 시설에 대한 업그레이드 한계에 도달 ○ 또한 체험시설 및 콘텐츠 노후로 인한 잦은 고장으로 안전사고 등의 문제점이 대두되고 있으며 이를     효율적으로 해결하기 위하여 20종 체험시설에 대하여 내구성.안전성.효과성 등 종합적인 진단평가 필요 ○ 그간 체험시설을 부분 보수로만 유지관리해옴에 따라 비효율적인 예산집행을 초래하고 있어 체계적이고    효율적인 유지관리 방안 검토 필요 ○ 재난유형의 다양화.대형화 추세에 맞는 재난 체험시설 발굴 필요 ○ 어린이대공원 서울상상나라 등 체험관 주변시설과 기능적으로 연계한 스토리텔링 안전체험으로     개선 등 다양한 운영전략 마련","○ 개관 11년차에 따른 노후 체험시설 및 운영 콘텐츠 전반에 대하여 시대환경      변화에 맞게 개선보강 하기 위해 연구용역을 추진하고자 함   - 중장기 발전계획 수립을 위한 추진방향 설정 및 비전제시   - 개관부터 현재까지 운영 실태를 종합적으로 분석하여 개선사항 도출   - 재난유형의 다양화 대형화 추세에 맞는 신규 체험시설 개발 및 운영전략 마련   - 노후 체험시설 및 콘텐츠 전반에 대하여 개선보강 하기 위한 중장기 계획 수립   - 중장기 계획 추진을 위한 소요 예산 산정"
"7254","제3기(2015~2018년) 서울시 지역사회복지계획 학술 연구용역","2014-04-18","2014-12-31","(재)서울시복지재단","-「사회복지사업법」 제15조의 3에 근거 법정계획 수립을 위한 연구용역 실시  - 늘어나는 사회복지 수요에 부응하여 지역주민의 복지체감도를 향상시키기 위해 서울시 차원의 체계적     종합적 복지정책의 수립 및 시행이 필요  - 지역사회 특성에 따른 복지수요의 전망과 복지 자원의 조달?관리 등에 비추어 통합적인 사회복지 전달    체계를 지역사회 차원에서 설계&#8228;추진할 필요성이 지속적으로 제기됨.","-  용역기간 : 계약일로부터 5개월  - 수행기관 : 서울시 복지재단  - 소요예산 : 62500천원  - 용역수행 방법 및 근거 : 수의계약"
"9857","서울시 도시생태현황도 재정비 용역(2차년도) (2013년 정기 심의회시 적정의결)","2014-04-10","2015-06-03","서울연구원","1) 서울특별시 도시계획 조례 제4조의 지속가능한 도시계획기본계획 수립을 위한 기초 조사내용에 도시생태현황이 포함되어 있으며 매5년마다 현황조사를 실시하여 정비하고 있음. 2) 2000년 최초 도시생태현황도를 작성한 이후 2005년 1차정비(2003~2005년 용역실시) 2010년 2차정비(2008~2010년 용역실시)를 실시하였음. 3) 도시생태현황도는 조사당시의 현황을 기반으로 작성되어 개별 토지의 개발행위 제한 등 시민의 재산권과 밀접한 관련이 있으나 현재의 도시생태현황도는 2010년에 작성된 것으로 개발 등으로 인하여 토지 및 생태현황이 변경되었기에 개별 토지별로 정확한 생태현황도를 작성하여 시민의 불편을 최소화 하고자 함.  4) 도시생태현황도는 시설계획과의 도시계획업무 뿐만아니라 자연생태과 및 공원과 등에서 관련업무에 활용하고 있으며 자치구에서는 도시계획과 공원과 건축과 등에서 인허가시 활용하고 있으므로 정확하고 신뢰성있는 행정을 위하여 재정비가 필요함.","현재 개발행위허가 및 환경성검토 기초자료 생태보호구역 지정 등에 활용중인 서울시 도시생태현황도는 2010년에 정비된 것으로서 지난 5년동안의 서울시의 토지사용 변화 및 생태변화 등을 반영하지 못하고 있어 재정비 용역을 통하여 수정 보완하고자 함."
"7517","녹색건축물 실태조사 및 조성계획 수립을 위한 연구용역","2014-04-09","2015-04-08","(사)한국교육환경연구원 외 1","ㅇ건축물 온실가스 배출량 감축과 녹색건축물의 확대를 통하여 저탄소 녹색성장의 실현을 위하여 「녹색건축물 조성 지원법」이 제정&#8228;시행(2013.2.23)됨에 따라 ㅇ국토교통부장관이 수립한 「녹색건축물 기본계획」의 범위내에서 서울시장은 녹색건축물의 실태를 파악하고 5개년의 조성계획을 수립함으로서 ㅇ시민의 복리향상과 저탄소 녹색성장에 기여","○사업근거 : 녹색건축물 조성지원법 제7조(지역녹색건축물 조성계획의 수립 등) ○사업내용    - 「서울지역 녹색건축물」의 현황 및 전망    - 「서울지역 녹색건축물」 조성의 기본방향과 달성목표    - 「서울지역 녹색건축물」의 조성 및 지원    - 「서울지역 녹색건축물」 조성계획의 추진에 따른 재원의 조달방안    - 「서울지역 녹색건축물」 조성을 위한 건축자재 및 시공    - 「서울특별시 녹색건축물 조성 지원조례(안)」의 제정 ○사업기간 : 2014. 3. ~ 2015. 2. ○사 업 비 : 200000천원"
"8117","회현제2시민아파트 정리사업 활성화 및 활용방안 연구 학술용역","2014-04-08","2014-07-31","서울시립대학교 산학협력단","○ 시민아파트는 서민 주거난 해소 등을 목적으로 ’69년~’71년도에 건립되었으나 대부분 안전에 취약하여 시민의 생명과 재산을 보호하고자 ’97. 8월부터 정리계획을 수립&#8228;추진하여 147개동을 정리하고 현재 회현2시민아파트 1개동만이 남은 상황임. ○ 회현 제2시민아파트가 ‘04년 재난위험시설 D등급으로 지정되어 ‘06년부터 정리사업 추진중에 있으나 정리사업이 지연되고 있는 상황으로 ○ 정리사업 지연에 대한 원인 및 사업현황을 분석하고 사업활성화 방안을 연구하고 사업추진에 활용하고자 함","○연구기관 : 서울연구원 ○연구기간 : 3개월(2014.2월 ~ 5월) ○연구목적   - 회현제2시민아파트 정리사업 지연원인 분석 및 활성화방안 연구 등을 통해 정리사업 조속 추진   - 또한 회현제2시민아파트 정리사업 조속추진을 통한 시민아파트 정리사업 마무리하고 시민 안전 확보"
"8237","서울특별시 지속가능발전 기본계획 수립 연구용역","2014-04-04","2014-11-20","이창우 서울연구원 선임연구위원 이지연 연구원","○ 환경문제에 대한 범세계적 대응을 위해 제시된 지속가능발전 개념은 이후 UN 등 국제사회에서 다양한       논의를 거치면서 경제와 사회적 측면의 조화와 균형까지 아우르는 인류의 보편적인 발전전략으로 확장   ○ 이러한 국제사회의 움직임에 대한 국가적 대응과는 별도로 글로벌 리딩도시를 지향하는 서울시차원의       적극적 동참이 필요한 상황   ○ 서울시 주요 정책과 시정계획을 경제&#8231;사회&#8231;환경 등 지속가능발전 관점에서 중&#8231;장기적으로 수립&#8231;      추진하기 위한 제도적 기반으로써 서울시 지속가능발전 기본계획 수립이 요구됨   ○ 동 연구용역을 통해 지속가능발전 관련 국내외 동향과 우수사례의 적용가능성 중점 추진과제와       전략수립 평가지표 개발 등을 검토하고자 함","○ 용 역 명 : 서울특별시 지속가능발전 기본계획 수립 연구용역   ○ 용역기간 : 계약일로부터 6개월(’14.4월~’14.9월)   ○ 수행기관 : 서울연구원(수의계약)    - 지방자치단체를 당사자로 하는 계약에 관한 법률 시행령 제25조 제1항 제8호 다목    - 서울특별시 서울연구원 육성조례 제4조   ○ 주요내용    - 지속가능발전 국내&#8228;외 현황 및 실태 분석    - 서울시 지속가능발전 기본계획 수립    - 지속가능성 평가지표 개발 및 평가방안 수립     - 지속가능발전 기본계획의 실효성 확보방안 제시"
